Country/Area,Region,Subregion,State/Province,Project Name,Unit Name,Status,Reactor Type,Model,capacity_numeric,capacity_factor,annual_generation_twh,Start Year,Retirement Year,Commercial Operation Date,Construction Start Date,Latitude,Longitude
United States,Americas,Northern America,Alabama,Joseph M Farley nuclear power plant,1,operating,pressurized water reactor,WH 3LP (DRYAMB),918.0,0.9,7.237512,1977.0,,1977-12-01,1970-10-01,31.2231,-85.1116
United States,Americas,Northern America,Alabama,Joseph M Farley nuclear power plant,2,operating,pressurized water reactor,WH 3LP (DRYAMB),928.0,0.9,7.316352,1981.0,,1981-07-30,1970-10-01,31.2231,-85.1116
United States,Americas,Northern America,Virginia,Joshua Falls nuclear power plant,--,announced,small modular reactor,unknown,275.0,0.85,2.04765,,,,,37.4291821,-79.0399344
United States,Americas,Northern America,Texas,Kairos Power Texas A&M nuclear power plant,1,announced,small modular reactor,KP-FHR,75.0,0.85,0.55845,2029.0,,2029,,30.6439672,-96.4690958
United States,Americas,Northern America,Texas,Kairos Power Texas A&M nuclear power plant,2,announced,small modular reactor,KP-FHR,75.0,0.85,0.55845,2029.0,,2029,,30.6439672,-96.4690958
United States,Americas,Northern America,Wisconsin,Kewaunee nuclear power plant,--,retired,pressurized water reactor,WH 2LP (DRYAMB),595.0,0.85,4.43037,1974.0,2013.0,1974-06-16,1968-08-06,44.3426,-87.5357
United States,Americas,Northern America,Wisconsin,Lacrosse nuclear power plant,--,retired,boiling water reactor,unknown,55.0,0.85,0.40953,1969.0,1987.0,1969-11-07,1963-03-01,43.5601,-91.2316
United States,Americas,Northern America,Illinois,LaSalle nuclear power plant,1,operating,boiling water reactor,BWR-5 (Mark 2),1207.0,0.9,9.515988,1984.0,,1984-01-01,1973-09-10,41.2455,-88.6691
United States,Americas,Northern America,Illinois,LaSalle nuclear power plant,2,operating,boiling water reactor,BWR-5 (Mark 2),1207.0,0.9,9.515988,1984.0,,1984-10-19,1973-09-10,41.2455,-88.6691
United States,Americas,Northern America,Florida,Levy County nuclear power plant,1,cancelled,pressurized water reactor,AP-1000,1250.0,0.85,9.3075,,,,,29.0733,-82.6217
